,brk10,brk20,brk40,brk80,brk160,brk320,ewm2,ewm4,ewm8,ewm16,ewm32,ewm64,carry
brk10,1.0,0.74,0.4,0.21,0.14,0.15,0.93,0.81,0.52,0.27,0.16,0.13,0.18
brk20,0.74,1.0,0.77,0.49,0.3,0.25,0.75,0.94,0.85,0.59,0.37,0.26,0.28
brk40,0.4,0.77,1.0,0.8,0.55,0.41,0.44,0.73,0.92,0.85,0.64,0.45,0.4
brk80,0.21,0.49,0.8,1.0,0.79,0.58,0.23,0.47,0.75,0.93,0.87,0.64,0.47
brk160,0.14,0.3,0.55,0.79,1.0,0.83,0.12,0.26,0.48,0.74,0.92,0.87,0.64
brk320,0.15,0.25,0.41,0.58,0.83,1.0,0.11,0.19,0.32,0.52,0.77,0.92,0.76
ewm2,0.93,0.75,0.44,0.23,0.12,0.11,1.0,0.86,0.57,0.31,0.15,0.1,0.15
ewm4,0.81,0.94,0.73,0.47,0.26,0.19,0.86,1.0,0.87,0.59,0.35,0.21,0.23
ewm8,0.52,0.85,0.92,0.75,0.48,0.32,0.57,0.87,1.0,0.88,0.62,0.39,0.34
ewm16,0.27,0.59,0.85,0.93,0.74,0.52,0.31,0.59,0.88,1.0,0.88,0.63,0.45
ewm32,0.16,0.37,0.64,0.87,0.92,0.77,0.15,0.35,0.62,0.88,1.0,0.88,0.59
ewm64,0.13,0.26,0.45,0.64,0.87,0.92,0.1,0.21,0.39,0.63,0.88,1.0,0.75
carry,0.18,0.28,0.4,0.47,0.64,0.76,0.15,0.23,0.34,0.45,0.59,0.75,1.0
