Instrument,Pointsize,AssetClass
CORN,50,Ags
LEANHOG,400,Ags
LIVECOW,400,Ags
SOYBEAN,50,Ags
WHEAT,50,Ags
KR10,1000000,Bond
KR3,1000000,Bond
BOBL,1000,Bond
BTP,1000,Bond
BUND,1000,Bond
OAT,1000,Bond
SHATZ,1000,Bond
US10,1000,Bond
US2,2000,Bond
US20,1000,Bond
US5,1000,Bond
V2X,100,Vol
VIX,1000,Vol
KOSPI,500000,Equity
AEX,200,Equity
CAC,10,Equity
SMI,10,Equity
NASDAQ,20,Equity
SP500,50,Equity
AUD,100000,FX
EUR,125000,FX
GBP,62500,FX
JPY,12500000,FX
MXP,500000,FX
NZD,100000,FX
COPPER,25000,Metals
GOLD,100,Metals
PALLAD,100,Metals
PLAT,50,Metals
CRUDE_W,1000,OilGas
GAS_US,10000,OilGas
EDOLLAR,2500,STIR
EUROSTX,10,Equity
